component_key	definition	runtime_analogue	mathematical_role	relation_to_previous_operation	relation_to_current_operation	current_status	caveat
support_set	The finite coordinate set S recorded by a normal support witness after canonical relabeling.	support_size field plus canonical schema row	Domain from which active and inactive coordinates are selected.	Delete operation removes one c in S.	Projection restricts from S to active_support(W).	proved_under_current_scope	Only inside selected support-normal-form contract.
active_support	The union of coordinates used by obstruction payload, counterexample certificate, frontier/shell/tail descriptors, canonical motif dependencies, and recognized family-chain lift fields.	support_gt8_witness_anatomy active_support row plus payload/lift descriptors	Defines the coordinates that must survive projection.	Redundant coordinate deletion checks one coordinate outside this union.	Projection target is this union as a whole.	active_support_notation_contract_ready	Completeness for arbitrary mathematical witnesses remains proof-sketch.
inactive_support	The set S minus active_support(W).	no standalone runtime column; derived from support_set and active descriptors	Candidate support removed by active projection.	A redundant coordinate can be one inactive coordinate.	All inactive coordinates are removed together.	proof_ready_skeleton	Only yields smaller witness if nonempty.
redundant_support	Coordinate-level predicate: a presented coordinate is unused by payload/certificate/family-chain fields.	support_reduction_selected_operation_semantics_90.tsv	Justifies single-coordinate deletion.	This was the previous selected operation.	Not identical to inactive_support; inactive_support is set-level.	proof_ready_skeleton_selected_delete_redundant_coordinate	Do not use as proof that every inactive projection is valid.
essential_coordinate	A coordinate whose removal changes the active payload, certificate, motif, or lift fields.	normal-form dependency set	Blocks active projection from removing it.	Deletion operation must prove chosen c is not essential.	Projection keeps every essential coordinate by definition.	proof_sketch_ready	Essentiality outside runtime rows needs formal witness language.
nonessential_coordinate	A support coordinate outside active_support(W).	inactive support complement	Candidate for removal by projection.	May be deleted one-by-one if redundancy predicate is presented.	Removed by project_to_active_support when inactive_support nonempty.	proof_ready_skeleton	Nonessential does not mean quotient-equivalent.
active_support_projection	The restriction W|active_support(W), followed by selected support normal-form renormalization.	project_to_active_support operation semantics	Constructs candidate smaller witness.	Generalizes deletion from one redundant coordinate to the whole inactive complement.	Core operation of this round.	proof_ready_skeleton	Normal-form preservation remains proof-sketch.
active_support_normal_form	A normal witness whose support set equals its active support.	support normal form plus active_support equality	No smaller witness from active projection.	After deleting all redundant/inactive coordinates, deletion no longer applies.	Projection is no-op and routes to next operation.	proved_under_current_scope_as_classification	Does not prove irreducibility under contraction/compression.
family_chain_source_relation	Recognized family-chain source form must have all recognizer and lift fields contained in active support.	family_chain_source_form_recognizer_90.tsv;family_chain_refined_lift_map_90.tsv	Preserves source-form recognition after projection.	Delete operation required deleted coordinate outside family fields.	Projection keeps all family-chain fields by active-support definition.	proof_sketch_ready	Recognizer soundness remains proof-sketch.
canonical_motif_relation	Canonical motif coordinates used to compare witnesses are included in active support.	canonical rowset equality and motif fingerprints	Separates active projection from motif compression.	Delete operation only reindexed after deleting c.	Projection may require canonical reindexing.	proof_sketch_ready	Canonical commutation remains separate.
payload_refinement_relation	Payload/refinement coordinates are included in active support so projection can preserve the payload relation.	family_chain_payload_refinement_relation_90.tsv;phase3 projection tables	Connects projection to obstruction preservation.	Delete operation preserved payload if c absent.	Projection preserves payload if active support contains all payload coordinates.	proof_sketch_ready	Full payload-refinement preservation is not proved.
higher_support_escape_relation	If active_support(W)=S or projection fails to preserve required fields, this operation yields no smaller witness and routes to next operation or named escape.	higher_support_escape_interface_90.tsv	Prevents hidden projection failure.	Delete operation failure was non-application.	Projection failure is non-application or named blocker, not proof success.	proved_under_current_scope	Higher-support closure still needs a bound theorem.
final_status	Active support language is first-class for the project-to-active operation.	active_support_notation_90.tsv	Provides input language for projection proof skeleton.	Extends previous deletion language without merging operations.	Ready for operation semantics and obligations.	active_support_notation_contract_ready	No arbitrary support-growth theorem is claimed.
