metric	value
lemma_name	family_chain_lift_or_higher_support_escape
exact_statement	Recognized support>8 family-chain branch witnesses have a refined lift, well-defined payloads, phase2 payload refinement relation, and conditional absorption; semantic preservation remains open or routes to named escape.
assumption_count	10
conclusion	payload well-definedness, phase2 relation, phase3 projection/canonical obligations, delete-redundant, project-to-active, coordinate-contraction, and canonical-compression routes are ready under preconditions; remaining family-chain absorption remains open
source_support_growth_witness_form	support_size_canonical_schema_shell_tail_frontier_family_escape
target_family_chain_obstruction_language	family_chain_obstruction_language_contract_ready
lift_map	refined_lift_map_defined_for_recognized_sources_preservation_open
payload_semantics	payload_semantics_contract_ready_preservation_open
counterexample_status_semantics	counterexample_status_contract_ready_preservation_or_reduction_open
verified_inputs_used	family_chain_lower_layers_fingerprint_90.tsv;family_chain_support_absorption_90.tsv;family_chain_obstruction_payload_semantics_90.tsv;family_chain_obstruction_preservation_skeleton_90.tsv
phase2_skeleton	family_chain_lift_map_refinement_phase2_skeleton_90.tsv
phase3_skeleton	family_chain_lift_phase3_skeleton_90.tsv
proof_outline_step_count	9
case_split	payload_preserved_and_absorbed;payload_refined_to_smaller_witness;preservation_failure_escape;non_family_chain_case
proved_under_current_scope_step_count	6
proof_sketch_step_count	5
blocked_step_count	1
missing_steps	layer-specific projection payload preservation;canonical lift soundness sublemma;counterexample status preservation theorem;remaining operation-specific smaller witness construction for family-chain absorption
exact_caveat	full_family_chain_lift_correctness_not_proved
status_congruence_bridge_status	partial_status_congruence_classified_open
final_status	partial_lift_status_congruence_classified_higher_support_open
next_blocker	higher_support_necessity_recheck
