obligation_key	statement	required_for_selected_operation	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_measure	dependency_on_normal_form	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
operation_preconditions_recognized	A redundant coordinate can be recognized by checking payload/certificate/family-chain irrelevance fields.	1	support_gt8_witness_anatomy_90.tsv;support_reduction_operations_90.tsv	redundancy existence/completeness for arbitrary witnesses	proof_sketch_ready	no	yes	yes	yes	possible	possible	1	prove_next_support_reduction_operation_sublemma
operation_output_well_defined	Deleting a redundant coordinate and restricting to S without c defines an output witness.	1	support_notation_and_normal_form_90.tsv	none inside redundancy precondition	proved_under_current_scope	no	yes	possible	possible	possible	no	1	use_selected_operation_contract
operation_output_normal_form	The restricted witness can be renormalized into the selected support normal form.	1	support_notation_and_normal_form_90.tsv	normal-form preservation under deletion	proof_sketch_ready	no	yes	possible	possible	possible	no	1	prove_next_support_reduction_operation_sublemma
operation_strictly_decreases_support_measure	The output witness has support_size one smaller, hence the lexicographic support measure strictly decreases.	1	support_bound_measure_90.tsv	none for selected operation arithmetic	proved_under_current_scope	yes	no	no	no	no	no	1	use_measure_decrease
operation_preserves_payload_refinement	The source and target payload relation is preserved by deleting an unused coordinate.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_lift_phase3_skeleton_90.tsv	payload-refinement transfer for arbitrary schemas	proof_sketch_ready	no	possible	yes	possible	yes	no	1	prove_next_support_reduction_operation_sublemma
operation_preserves_or_reduces_counterexample_status	If the counterexample certificate does not mention c, it transfers to the smaller witness or refutes support-minimality.	1	family_chain_counterexample_status_preservation_theorem_90.tsv;support_bound_measure_90.tsv	none inside strong redundancy precondition	proved_under_current_scope	yes	possible	possible	yes	possible	no	1	use_selected_operation_contract
operation_commutes_with_canonicalization	Deleting c before canonicalization agrees with canonicalizing then deleting the corresponding redundant coordinate.	1	family_chain_canonical_lift_soundness_90.tsv	canonical reindexing proof	proof_sketch_ready	no	yes	yes	possible	possible	no	1	prove_next_support_reduction_operation_sublemma
operation_respects_family_chain_lift	Recognized family-chain source form remains recognized when c is outside all family-chain lift fields.	1	family_chain_source_form_recognizer_90.tsv;family_chain_refined_lift_map_90.tsv	family-chain field irrelevance proof	proof_sketch_ready	no	yes	yes	possible	yes	no	1	prove_next_support_reduction_operation_sublemma
operation_failure_is_named_escape	Failure of the redundancy precondition is a named non-application case, not hidden proof success.	1	higher_support_escape_interface_90.tsv	higher-support bound for final closure	proved_under_current_scope	no	no	no	no	possible	yes	1	higher_support_necessity_recheck
no_hidden_operation_failure_case	For this operation, cases are redundancy success or named non-application/failure.	1	support_reduction_operation_sublemma_scope_inventory_90.tsv	completeness against arbitrary support-growth witnesses	proof_sketch_ready	no	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck
