obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_payload_relation	dependency_on_correspondence	dependency_on_canonicalization	dependency_on_status_preservation	dependency_on_smaller_witness	dependency_on_higher_support	can_attempt_now	recommended_next_action
payload_refinement_relation_well_defined	The phase2 refinement relation is mathematically defined for source and target payloads.	1	family_chain_payload_refinement_relation_90.tsv	none	proved_under_current_scope	yes	no	no	no	no	no	1	use_as_phase2_relation
source_target_correspondence_total_for_recognized_sources	Every recognized source payload component has a declared target correspondence.	1	family_chain_source_target_payload_correspondence_90.tsv;family_chain_refined_lift_map_90.tsv	none inside recognized contract	proved_under_current_scope	yes	yes	no	no	no	no	1	use_as_correspondence_contract
source_target_correspondence_respects_canonicalization	Correspondence is compatible with source and target canonicalization.	1	family_chain_source_target_payload_correspondence_90.tsv;family_chain_obstruction_payload_semantics_90.tsv	canonical_lift_soundness	proof_sketch_ready	yes	yes	yes	possible	no	no	1	canonicalization_commutes_with_lift_sublemma
payload_refinement_holds_layerwise	Each family-chain layer projection satisfies the selected refinement relation.	1	family_chain_source_target_payload_correspondence_90.tsv	layer projection payload preservation sublemmas	needs_correspondence_sublemma	yes	yes	yes	yes	no	no	1	family_chain_lift_phase3_if_needed
payload_refinement_composes_across_layers	Layerwise refinements compose into whole-payload refinement.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_source_target_payload_correspondence_90.tsv	composition proof across layers	proof_sketch_ready	yes	yes	yes	yes	no	no	1	family_chain_lift_phase3_if_needed
payload_refinement_implies_obstruction_preservation	The selected refinement relation preserves obstruction payload semantics.	1	family_chain_obstruction_payload_semantics_90.tsv	obstruction-preservation semantic theorem	proof_sketch_ready	yes	yes	yes	yes	no	no	1	family_chain_lift_phase3_if_needed
payload_refinement_implies_counterexample_preservation	Refinement preserves counterexample status where no reduction is needed.	1	family_chain_counterexample_status_preservation_90.tsv	status preservation theorem	needs_status_preservation_sublemma	yes	yes	yes	yes	no	possible	1	family_chain_lift_phase3_if_needed
failed_counterexample_preservation_constructs_smaller_witness	If status is not preserved, a smaller witness is constructed.	1	family_chain_smaller_witness_construction_90.tsv	operation-specific smaller witness construction	needs_smaller_witness_sublemma	possible	possible	yes	yes	yes	possible	1	prove_support_reduction_operation_sublemma
smaller_witness_measure_decreases	The constructed smaller witness has strictly smaller support measure.	1	support_bound_measure_90.tsv;family_chain_smaller_witness_construction_90.tsv	actual constructed output witness	proved_under_current_scope_conditional	possible	no	possible	no	yes	no	1	use_after_construction
refinement_failure_is_named_escape	Failure of refinement or construction is routed to a named escape/blocker.	1	higher_support_escape_interface_90.tsv;family_chain_smaller_witness_construction_90.tsv	higher-support bound for closure	proved_under_current_scope	yes	yes	possible	possible	yes	yes	1	higher_support_necessity_recheck
no_hidden_payload_refinement_failure_case	The phase2 relation/correspondence/construction inventories leave no untracked failure class.	1	family_chain_lift_phase2_obligation_inventory_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	yes	yes	yes	yes	yes	yes	1	higher_support_necessity_recheck
