obligation_key	statement	required_for_selected_phase3_target	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_projection	dependency_on_canonicalization	dependency_on_status_preservation	dependency_on_smaller_witness	dependency_on_higher_support	can_attempt_now	recommended_next_action
layer_projection_well_defined	Every selected family-chain projection layer has a declared source and target payload component.	1	family_chain_layer_projection_payload_preservation_90.tsv;family_chain_source_target_payload_correspondence_90.tsv	none inside recognized contract	proved_under_current_scope	yes	no	no	no	no	1	use_as_projection_contract
layer_projection_preserves_payload_refinement	Each projection preserves the selected layerwise payload refinement relation.	1	family_chain_layer_projection_payload_preservation_90.tsv	layer-specific projection payload preservation sublemmas	proof_sketch_ready	yes	yes	possible	no	no	1	family_chain_lift_phase4_if_needed
canonical_lift_commutes_or_refines	Source canonicalization then lift agrees with lift then target canonicalization, or refines under the phase2 relation.	1	family_chain_canonical_lift_soundness_90.tsv	canonical lift soundness sublemma	proof_sketch_ready	yes	yes	possible	possible	no	1	family_chain_lift_phase4_if_needed
canonical_lift_soundness_implies_payload_refinement	Canonical lift soundness lets layer correspondences compose into whole-payload refinement.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_canonical_lift_soundness_90.tsv	composition under canonical quotient	proof_sketch_ready	yes	yes	possible	no	no	1	family_chain_lift_phase4_if_needed
payload_refinement_implies_obstruction_preservation	Layerwise payload refinement preserves source obstruction payload meaning.	1	family_chain_obstruction_payload_semantics_90.tsv	obstruction-preservation semantic theorem	proof_sketch_ready	yes	yes	yes	no	no	1	family_chain_lift_phase4_if_needed
obstruction_preservation_implies_counterexample_status_preservation	Obstruction preservation implies counterexample status preservation.	0	family_chain_counterexample_status_preservation_theorem_90.tsv	status preservation theorem	needs_status_preservation_sublemma	yes	yes	yes	no	possible	1	after_projection_or_operation
status_nonpreservation_yields_smaller_witness	If status is not preserved, an operation-specific smaller witness is constructed.	0	family_chain_operation_specific_smaller_witness_90.tsv	operation-specific smaller-witness construction	needs_smaller_witness_sublemma	possible	possible	yes	yes	possible	1	prove_support_reduction_operation_sublemma
operation_specific_smaller_witness_measure_decreases	A constructed operation-specific smaller witness has a strictly smaller support measure.	0	support_bound_measure_90.tsv;family_chain_operation_specific_smaller_witness_90.tsv	actual operation output witness	proved_under_current_scope_conditional	possible	possible	no	yes	no	1	use_after_operation_construction
phase3_failure_is_named_escape	Projection/canonical/status/construction failures route to named escape or blocker.	1	higher_support_escape_interface_90.tsv;family_chain_lift_phase3_need_assessment_90.tsv	higher-support bound for closure	proved_under_current_scope	yes	yes	possible	possible	yes	1	higher_support_necessity_recheck
no_hidden_phase3_failure_case	Selected phase3 target has no hidden failure class outside projection/canonical/status/smaller-witness/escape rows.	1	family_chain_lift_phase3_obligation_inventory_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	yes	yes	yes	yes	yes	1	higher_support_necessity_recheck
