obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_motif_notation	dependency_on_payload	dependency_on_counterexample_status	dependency_on_measure	dependency_on_normal_form	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
canonical_compression_status_language_well_defined	Canonical compression status uses preserved, reduced, named blocker, and deferred higher-support labels from the common status language.	1	status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	no	1	use_status_language
motif_compression_congruent_for_payload	Accepted compressible motifs have payload refinement under the motif rewrite.	1	canonical_motif_notation_90.tsv;canonical_motif_compression_operation_semantics_90.tsv	layerwise payload refinement proof	proof_sketch_ready	yes	yes	possible	no	possible	possible	no	1	prove_payload_congruence_later
motif_compression_congruent_for_counterexample_status	Accepted motif compression has congruent counterexample-status/certificate roles under the rewrite.	1	canonical_motif_status_congruence_lemma_90.tsv	canonical-motif counterexample-status congruence theorem	needs_counterexample_status_sublemma	yes	possible	yes	possible	possible	possible	possible	1	prove_status_congruence_later
compressed_motif_preserves_relevant_payload	Rewriting motif payload fields preserves relevant payload carriers on the compressed motif.	1	canonical_motif_compression_smaller_witness_90.tsv	payload transfer under motif normalization	proof_sketch_ready	yes	yes	possible	no	yes	possible	no	1	prove_payload_congruence_later
compressed_motif_preserves_counterexample_status_when_congruent	If status congruence and normal-form preservation hold, compression preserves counterexample status.	1	canonical_motif_status_congruence_lemma_90.tsv;status_preservation_language_90.tsv	status congruence;normal-form preservation	proof_sketch_ready	yes	possible	yes	possible	yes	possible	no	1	prove_status_congruence_later
compression_reduces_to_smaller_witness_when_status_changes	If status is not literally preserved but compressed status remains counterexample/reduced obstruction, measure decrease gives a smaller witness.	1	support_bound_measure_90.tsv;canonical_motif_compression_smaller_witness_90.tsv	valid reduced-status theorem for compressed witness	needs_smaller_witness_sublemma	yes	possible	yes	yes	yes	possible	possible	1	prove_status_congruence_later
compression_measure_decrease_already_available	Accepted compression strictly decreases the selected lexicographic support/canonical measure.	1	canonical_motif_compression_smaller_witness_90.tsv	none	proved_under_current_scope	yes	no	no	yes	no	no	no	1	use_measure_guard
compression_normal_form_preserved	Motif rewrite followed by normalization preserves selected support normal form.	1	support_notation_and_normal_form_90.md	normal-form preservation under motif rewrite	needs_normal_form_sublemma	yes	possible	possible	possible	yes	possible	no	1	prove_normal_form_later
compression_family_chain_source_form_preserved	Recognized family-chain source form is preserved when source fields are motif-compatible.	1	family_chain_lift_phase3_skeleton_90.tsv;family_chain_source_form_recognizer_90.md	family-chain source motif-compression proof	proof_sketch_ready	yes	yes	possible	possible	yes	yes	no	1	prove_source_form_later
compression_status_failure_is_named_escape	Status failure is named as operation blocker or deferred higher-support escape after operation proofs close.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope_as_partition	yes	possible	possible	no	possible	possible	yes	1	use_failure_classification
no_hidden_compression_status_failure_case	Compression status branch has no hidden class outside preserved, reduced, named blocker, no-op/no-decrease, or deferred higher-support escape.	1	canonical_compression_status_preservation_scope_inventory_90.tsv	arbitrary witness completeness	proof_sketch_ready	yes	possible	possible	possible	possible	possible	yes	1	family_chain_absorption_status_preservation
