assessment_key	value	evidence	risk	next_action
feasibility_label	promotion_review_completed_local_exact_nonblocking	shell16_promoted_boundary_facts_90.tsv	medium	family_chain_lift_map_refinement
candidate_universe_growth	measured_candidate_universe_count_4	shell16_candidate_universe_90.tsv	low	review_scope_before_promotion
local_exact_scan_cost	completed_local_exact_survivors_2	shell16_local_exact_survivor_audit_90.tsv	medium	review_local_exact_witnesses
plus_one_scan_cost	completed_plus_one_survivors_0	shell16_plus_one_survivor_audit_90.tsv	low	use_in_promotion_review
theorem_preserving_scan_cost	completed_theorem_preserving_survivors_0	shell16_theorem_preserving_survivor_audit_90.tsv	medium	use_in_promotion_review
runtime_memory_limit	no_current_failure_within_cost_cap	shell16_attempt_summary_90.tsv	low	keep_cost_guard_for_future_attempts
pass1_pass2_pass3_pattern	builder_then_cache_loader_observed	scan_shell16_frontier_non_promoting_attempt_;load_current_shell16_runtime_artifact_	low	keep_no_promotion_guard
stale_fallback_detection	contract_defined	shell16_audit_contract_90.tsv	medium	enforce_before_theorem_promotion
failure_gate_policy	defined	shell16_attempt_protocol_90.tsv	low	use_named_failure_gate
tail_escape_update	closed_for_limited_bridge_theorem	tail_monotonicity_limited_bridge_skeleton_90.tsv	medium	family_chain_lift_map_refinement
