sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
payload_well_defined_on_recognized_sources	proved_under_current_scope	recognizer accepts source-form payload fields	source obstruction payload is well-defined	The recognizer requires an obstruction payload compatibility field before preservation is attempted.	branch_4/90/runtime/family_chain_source_form_recognizer_90.tsv	none inside recognized contract	use_as_payload_contract
lifted_payload_well_defined	proved_under_current_scope	refined lift map is applied to recognized source	target lifted payload object is well-defined	The refined lift map has an `obstruction_payload_lift` target object and layer-specific target rows.	branch_4/90/runtime/family_chain_refined_lift_map_90.tsv	none inside recognized contract	use_as_lifted_payload_contract
family_chain_theorem_absorbs_lifted_payload	proved_under_current_scope	valid lifted target payload is in bounded family-chain language	bounded family-chain theorem absorbs target object	Current family-chain theorem applies after successful valid lift into target language.	branch_4/90/runtime/family_chain_support_absorption_90.tsv	valid lifted payload	use_as_conditional_absorption
self_verification_confirms_lifted_consistency	proved_under_current_scope	valid lifted target object is in current family-chain language	self verification confirms target consistency	Family-chain lower-layer fingerprint and theorem audit preserve the self-verified target package.	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	target-language membership	use_as_conditional_consistency
preservation_failure_is_named_escape	proved_under_current_scope	preservation cannot be established	case is routed to named escape or blocker	The higher-support escape interface now contains recognized-family-chain preservation-open and payload mismatch classes.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound for closure	higher_support_necessity_recheck
source_target_payload_equality_or_refinement	proof_sketch_only	source and target payloads are defined	phase2 refinement relation and correspondence are defined	The phase2 relation/correspondence tables make the proof target first-class, but layerwise semantic preservation remains unproved.	branch_4/90/runtime/family_chain_lift_map_refinement_phase2_skeleton_90.tsv	layer projection payload preservation;canonical lift soundness	family_chain_lift_phase3_if_needed
counterexample_status_reduced_when_not_preserved	proof_sketch_only	status is not preserved	smaller witness can be used instead	The smaller-witness construction is formalized and measure decrease is conditional, but operation-specific construction is blocked.	branch_4/90/runtime/family_chain_smaller_witness_construction_90.tsv	operation-specific smaller witness construction	prove_support_reduction_operation_sublemma
no_hidden_payload_failure_case	proof_sketch_only	payload/status/escape inventories are applied	no hidden payload failure class remains	The inventories enumerate payload mismatch, canonicalization, status, and escape failures; arbitrary payload completeness remains proof-sketch.	branch_4/90/runtime/family_chain_obstruction_payload_semantics_90.tsv	arbitrary payload completeness proof	higher_support_necessity_recheck
obstruction_payload_preserved	proof_sketch_only	source/target payloads have phase2 refinement relation	source obstruction meaning is preserved if layerwise semantic preservation holds	Phase2 gives the relation and correspondence, but the semantic theorem is not proved.	branch_4/90/runtime/family_chain_payload_refinement_relation_90.tsv	layerwise semantic preservation theorem	family_chain_lift_phase3_if_needed
counterexample_status_preserved	blocked_by_status_preservation	payload preservation or reduction is required	counterexample status is preserved	The current artifacts do not prove that lifted payload refinement implies source counterexample preservation for all recognized sources.	branch_4/90/runtime/family_chain_counterexample_status_preservation_90.tsv	status preservation theorem	family_chain_lift_phase3_if_needed
