language_component	definition	runtime_analogue	mathematical_role	layer_dependency	current_verified_status	caveat
family_chain_obstruction_object	A canonical bounded family-chain obstruction object consumed by the family-chain theorem.	family_chain theorem objects and constructor audit	target object for successful lift	family_chain_output_57	current_verified_bounded_language	Does not define arbitrary support-growth source form.
pair_expansion_layer	Single/pair bounded expansion aggregate forming the first lower-layer target.	pair_expansion_aggregate_52_payload_90.tsv	base pair-family region language	52	current_verified_fresh	Only bounded regions scanned by current constructor.
triple_family_layer	Triple-family expansion theorem data above pair52.	triple_family_expansion_theorem_data_53_payload_90.tsv	triple-family bounded obstruction layer	53	current_verified_fresh	Requires upstream pair52 fresh and non-fallback.
quadruple_family_layer	Quadruple-family expansion theorem data above triple53.	quadruple_family_expansion_theorem_data_55_payload_90.tsv	quadruple-family bounded obstruction layer	55	current_verified_fresh	Bounded theorem data, not arbitrary support growth.
quintuple_family_layer	Quintuple-family expansion theorem data above quad55.	quintuple_family_expansion_theorem_data_57_payload_90.tsv	quintuple-family bounded obstruction layer	57	current_verified_fresh	Bounded layer only.
sextuple_family_layer	Sextuple-family expansion theorem data above quintuple57.	sextuple_family_expansion_theorem_data_57_payload_90.tsv	sextuple-family bounded obstruction layer	57	current_verified_fresh	Bounded layer only.
septuple_family_layer	Septuple-family expansion theorem data above sextuple57.	septuple_family_expansion_theorem_data_57_payload_90.tsv	septuple-family bounded obstruction layer	57	current_verified_fresh	Bounded layer only.
high_family_layer	High-family aggregate over sextuple/septuple-ready regions.	high_family_expansion_theorem_data_57_payload_90.tsv	highest bounded family-chain target layer	57	current_verified_fresh	Does not close support growth outside target language.
lower_layer_7_7_fresh	The seven lower family-chain layers are fresh current-runtime generated and imported count is zero.	family_chain_lower_layers_fingerprint_90.tsv	provenance and package freshness guarantee	pair52_through_high57	current_verified_freshness	This is not a lift correctness proof.
bounded_family_chain_theorem_scope	The current family-chain theorem closes bounded family-chain obstruction objects in the runtime language.	family_chain_support_absorption_90.tsv;family_chain theorem audit	bounded target closure	family_chain_theorem_objects	current_verified_bounded_scope	Applies only after successful lift.
family_chain_self_verification	Internal consistency/self-verification of family-chain theorem objects.	family_chain_constructor_audit_90.tsv;family-chain theorem audit	consistency check for target package	family_chain_output_57	current_verified_bounded_scope	Does not prove source-to-target map.
canonicalization_rule	Canonical row/object equality used by family-chain payloads and fingerprints.	counts_and_consumer_visible_fingerprint_equal	equality language for generated rows	all layers	proof_sketch_ready	Runtime equality is not full mathematical equivalence.
outside_family_chain_language_escape	A support-growth witness not recognized by family-chain source form remains outside the family-chain target.	higher_support_escape_interface_90.tsv	escape classification	outside target language	proved_under_current_scope_as_partition	Closure requires higher-support bound.
