input_key	statement	status	evidence_path	allowed_use_in_limited_theorem	disallowed_use	caveat
support8_authoritative_completion_lock	Support8 finite closure remains support8_authoritative_completion_locked.	current_verified	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	Finite contradiction input for captured support8 witnesses.	Full general theorem without bridge obligations.	Scope is current support8 package.
support8_shell_theorem	Support8 antecedent15 shell theorem is fresh current-runtime generated.	current_verified	branch_4/90/support8_antecedent15_shell_theorem_notes_90.md	Shell15 finite package case.	Full shell extension theorem.	Does not by itself prove shell16+.
support8_tail_pattern_theorem	Support8 outside-bounded tail pattern theorem is fresh current-runtime generated.	current_verified	branch_4/90/support8_outside_bounded_tail_pattern_notes_90.md	Checked tail capture.	Full tail monotonicity.	Checked range only.
support8_tail_obstruction_chain_theorem	Support8 tail obstruction chain theorem is fresh current-runtime generated.	current_verified	branch_4/90/support8_tail_obstruction_chain_notes_90.md	Obstruction-chain contradiction in checked tail case.	Unrestricted obstruction theorem.	Current support8 scope.
audit_package	Docs/artifacts/rerun/freshness audit remains closed.	current_verified	branch_4/90/runtime/provenance_summary_90.md	Runtime evidence integrity.	Substitute for mathematical support-bound proof.	Audit-backed finite proof package.
bounded_family_chain_theorem	Bounded family-chain theorem remains fresh.	current_verified	branch_4/90/family_chain_fresh_constructor_report_90.md	Bounded family obstruction component.	General family-chain lift.	Lift beyond bounded scope is separate.
family_chain_self_verification	Family-chain self verification remains fresh.	current_verified	branch_4/90/runtime/family_chain_generation_audit_90.tsv	Consistency input for bounded family component.	General theorem proof.	Runtime-verified scope only.
family_chain_lower_layers_7_of_7_fresh	Family-chain lower layers are total 7, fresh 7, imported 0.	current_verified	branch_4/90/runtime/family_chain_lower_layers_inventory_90.tsv	Provenance closure for family-chain inputs.	Broader family-chain lift.	Current lower-layer caveat closed only.
minimal_counterexample_measure	Selected lexicographic minimal-counterexample measure is proof-ready.	proof_ready	branch_4/90/runtime/minimal_counterexample_measure_90.tsv	Minimal witness setup.	Well-foundedness outside declared finite/support scope.	Caveat from normal-form contract remains bounded.
minimal_normal_form	Minimal witness normal form is ready with canonicalization caveat.	proof_ready	branch_4/90/runtime/minimal_counterexample_witness_normal_form_90.tsv	Witness routing into finite/tail/shell16 cases.	Full mathematical canonicalization theorem.	Canonicalization soundness remains named obligation for broader theorem.
minimal_proved_sublemmas	Four minimal-reduction sublemmas are proved under current scope.	current_verified_limited	branch_4/90/runtime/minimal_counterexample_reduction_sublemma_proofs_90.tsv	Existence, finite contradiction, disjoint escapes, bounded captures.	Completion of all full-general obligations.	Some sublemmas remain sketches outside selected scope.
minimal_escape_interface	Escape classes are named and disjoint for selected scope.	current_verified_limited	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	Route unsupported cases to named obligations.	Hiding full-general gaps.	Support-bound/full-tail remain named out-of-scope obligations.
checked_tail_absorption	Checked tail absorption is proved under current scope.	current_verified_limited	branch_4/90/runtime/tail_monotonicity_sublemma_proofs_90.tsv	Checked tail case closure.	Full tail monotonicity.	Only checked range and reviewed first boundary.
tail_witness_normal_form	Tail witness normal form distinguishes checked and extension witnesses.	proof_ready	branch_4/90/runtime/tail_witness_normal_form_90.tsv	Case split for checked tail and shell16 boundary.	General absorption equivalence.	Extension beyond first boundary remains separate.
tail_measure	Tail measure is proof-ready for classification.	proof_ready	branch_4/90/runtime/tail_monotonicity_measure_90.tsv	Measure for checked/boundary routing.	Proof of arbitrary decreasing absorption.	Absorption step still separate.
shell16_candidate_universe_constructed	Shell16 candidate universe has 4 canonical rows.	current_verified_runtime_fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	Boundary fact in selected proof.	Full shell16 theorem; full general theorem; zero local exact survivors.	No theorem promotion.
shell16_local_exact_survivors_present	Shell16 has exactly two local-exact survivors.	current_verified_runtime_fact	branch_4/90/runtime/shell16_local_exact_survivor_analysis_90.tsv	Visible nonblocking witness accounting.	Zero local exact survivor claim; full shell16 theorem.	Both local-exact rows fail plus-one.
shell16_zero_plus_one_survivors	Shell16 has zero plus-one survivors under reviewed attempt.	current_verified_runtime_fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	Plus-one escape exclusion at reviewed boundary.	Zero local exact survivor claim; arbitrary shell extension theorem.	First boundary only.
shell16_zero_theorem_preserving_survivors	Shell16 has zero theorem-preserving survivors under reviewed attempt.	current_verified_runtime_fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	Theorem-preserving escape exclusion at reviewed boundary.	Full general theorem; full shell16 theorem; zero local exact survivors.	First boundary only.
shell16_boundary_no_theorem_preserving_escape	Reviewed shell16 boundary has no theorem-preserving escape.	current_verified_limited_bridge_lemma	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	Shell16 boundary case closure in selected theorem.	Full tail monotonicity; full shell16 theorem; full general theorem.	Depends on reviewed no-promotion facts.
shell16_boundary_tail_escape_closed_under_review	Current theorem-preserving shell16 tail escape is closed under review.	current_verified_limited_bridge_lemma	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	Close first-boundary tail escape for selected theorem.	Arbitrary extension absorption.	Does not absorb all later tails.
