obligation_key	statement	needed_for_support8_sufficiency_for_limited_bridge	needed_for_support_minimal_reduction	needed_for_full_general_gap	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_family_chain	dependency_on_higher_support	dependency_on_shell_tail_bridge	can_attempt_now	recommended_next_action
support_minimal_witness_exists	Support measure admits a minimal witness in the selected proof contract.	0	1	1	support_bound_measure_90.tsv;minimal_counterexample_measure_90.tsv	existence outside selected contract	proof_sketch_ready	no	no	no	1	maintain_contract
support_normalization_preserves_counterexample	Support witness normal form preserves counterexample status.	0	1	1	support_notation_and_normal_form_90.tsv	normalization preservation for arbitrary broader witness	proof_sketch_ready	no	possible	no	1	after_preservation
support8_capture	Support<=8 witness is captured by current support8 package and limited bridge theorem.	1	1	1	current_support8_closure_certificate_90.tsv;limited_bridge_theorem_status_90.tsv	none inside selected support8 scope	current_verified	no	no	yes	1	use_limited_bridge_theorem
support_reduction_step	Support>8 witness is partitioned into reducible, phase2-relation-open family-chain, or named escape cases.	0	1	1	support_reduction_step_skeleton_90.tsv	operation preservation;layerwise payload/status preservation	proof_sketch_ready	yes	yes	possible	1	family_chain_lift_phase3_if_needed
support_measure_decreases	Declared support reduction operation decreases the selected measure.	0	1	1	support_bound_measure_90.tsv	operation-specific strict decrease proof	proof_sketch_ready	no	no	no	1	prove_support_reduction_operation_sublemma
family_chain_absorbs_support_growth	Recognized family-chain source-form case is absorbed after phase2 layerwise payload/status preservation, or reduced by smaller-witness construction.	0	1	1	family_chain_lift_map_refinement_phase2_skeleton_90.tsv;family_chain_support_absorption_90.tsv	layerwise payload preservation;status preservation;smaller witness construction	blocked_by_payload_semantics	yes	possible	no	1	family_chain_lift_phase3_if_needed
frontier_ladder_covers_support8_cases	Support8 frontier/shell/tail cases are covered by current package.	1	1	1	support8 closure;limited bridge theorem	no full broader frontier completeness	current_verified	no	possible	yes	1	maintain_certificate
higher_support_escape_disjointness	Reduction/lift/preservation failure cases are named higher-support or non-family-chain escapes.	0	1	1	higher_support_escape_interface_90.tsv	higher-support bound for closure	proof_sketch_ready	possible	yes	possible	1	higher_support_necessity_recheck
limited_bridge_applies_after_support_reduction	Reduced support<=8 witness can use limited bridge theorem.	1	1	1	limited_bridge_theorem_status_90.tsv	none after valid reduction	current_verified	no	no	yes	1	use_limited_bridge_theorem
no_untracked_support_escape	No support8/family-chain/higher-support case is hidden in the current inventory.	0	1	1	support_reduction_step_skeleton_90.tsv;family_chain_obstruction_payload_semantics_90.tsv	arbitrary witness/payload completeness proof	proof_sketch_ready	possible	yes	possible	1	higher_support_necessity_recheck
