correspondence_key	source_payload_component	target_payload_component	lift_component	expected_relation	evidence_or_argument	canonicalization_dependency	status_preservation_dependency	missing_sublemma	current_status
source_signature	source family signature	source family signature row	source_signature_lift	canonical_quotient_refinement	refined lift map copies normalized family signature	source canonical key retained	recognizer_soundness	recognizer_soundness_proof	proof_sketch_ready
pair52_payload	recognized pair payload	pair52 bounded region payload	pair52_projection	layerwise_payload_refinement	pair component is routed to pair52 target row	pair row canonicalization	pair obstruction predicate preservation	pair_projection_payload_preservation	proof_ready_skeleton
triple53_payload	recognized triple payload	triple53 theorem-data payload	triple53_projection	layerwise_payload_refinement	triple component is routed to triple53 target row	triple row canonicalization	triple obstruction predicate preservation	triple_projection_payload_preservation	proof_ready_skeleton
quad55_payload	recognized quadruple payload	quad55 theorem-data payload	quad55_projection	layerwise_payload_refinement	quad component is routed to quad55 target row	quad row canonicalization	quad obstruction predicate preservation	quad_projection_payload_preservation	proof_ready_skeleton
quint57_payload	recognized quintuple payload	quint57 theorem-data payload	quint57_projection	layerwise_payload_refinement	quint component is routed to quint57 target row	quint row canonicalization	quint obstruction predicate preservation	quint_projection_payload_preservation	proof_ready_skeleton
sext57_payload	recognized sextuple payload	sext57 theorem-data payload	sext57_projection	layerwise_payload_refinement	sext component is routed to sext57 target row	sext row canonicalization	sext obstruction predicate preservation	sext_projection_payload_preservation	proof_ready_skeleton
sept57_payload	recognized septuple payload	sept57 theorem-data payload	sept57_projection	layerwise_payload_refinement	sept component is routed to sept57 target row	sept row canonicalization	sept obstruction predicate preservation	sept_projection_payload_preservation	proof_ready_skeleton
high57_payload	recognized high-family payload	high57 aggregate payload	high57_projection	layerwise_payload_refinement	high-family component is routed to high57 aggregate row	high-family row canonicalization	high-family obstruction predicate preservation	high_projection_payload_preservation	proof_ready_skeleton
canonical_lifted_payload	recognized canonical motif	canonical lifted family payload	canonical_lift_row	canonical_quotient_refinement	canonical target row is formed after projection	canonicalization_commutes_with_lift	status invariant under canonical quotient	canonical_lift_soundness	proof_sketch_ready
obstruction_payload	recognized obstruction payload	lifted obstruction object	obstruction_payload_lift	obstruction_preserving_refinement	payload object is attached to lifted target row	payload equality must survive target canonicalization	obstruction payload preservation	obstruction_status_preserved	blocked_by_status_preservation
counterexample_payload	recognized counterexample payload	lifted or reduced counterexample payload	obstruction_payload_lift	counterexample_preserving_or_reducing_refinement	status must be preserved or reduced under support measure	canonical status tuple support measure	status preservation or smaller witness	status_preservation_or_smaller_witness	blocked_by_status_preservation
escape_payload	refinement failure	named higher-support or non-family-chain escape	escape_on_failed_refinement	no_refinement	no lift correctness claim after failure	not_applicable	not_applicable	higher_support_bound	classified_escape_open
final_status	recognized source payload bundle	lifted target payload bundle	all layer projections	layerwise_payload_refinement_contract	contract totality is defined; semantic proof is pending	layer projection canonicalization	status preservation theorem	source-target payload preservation theorem	source_target_correspondence_proof_ready_skeleton
