source_key	target_key	edge_type	evidence_path	status	caveat
support8_authoritative_completion_lock	minimal_counterexample_reduction	verified_input_supports_obligation	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	supports_finite_premise	support8_specific
family_chain_lower_layers_7_of_7	family_chain_lift	verified_input_supports_obligation	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	supports_bounded_family_premise	not_payload_preservation
project_to_active_status_skeleton	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/project_to_active_status_skeleton_90.tsv	proof_ready_skeleton_project_to_active_status_locality_open	not_status_proved
status_preservation_congruence_bridge	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/status_preservation_congruence_skeleton_90.tsv	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open	classification_not_full_preservation_proof
contract_equivalent_status_skeleton	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/contract_equivalent_status_skeleton_90.tsv	proof_ready_skeleton_contract_equivalent_status_congruence_open	not_status_proved
canonical_compression_status_skeleton	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/canonical_compression_status_skeleton_90.tsv	proof_ready_skeleton_canonical_compression_status_congruence_open	not_status_proved
family_chain_absorption_status_skeleton	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/family_chain_absorption_status_skeleton_90.tsv	proof_ready_skeleton_family_chain_absorption_status_refutation_measure_open	source_alignment_and_measure_not_proved
operation_specific_status_proofs	support_bound_justification	obligation_depends_on_obligation	branch_4/90/runtime/support_reduction_operation_status_table_90.tsv	remaining_operation_refinements_open	project_locality_next
support_reduction_step_skeleton	support_bound_justification	verified_input_supports_obligation	branch_4/90/runtime/support_reduction_step_skeleton_90.tsv	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open	not_full_reduction_theorem
higher_support_bound_formalization	support_bound_justification	deferred_candidate_bound	branch_4/90/runtime/higher_support_bound_candidate_lemmas_90.tsv	deferred_until_operation_proofs_close	not_scan
limited_to_broader_generalization_plan	support_bound_justification	candidate_planning_track	branch_4/90/runtime/limited_to_broader_after_higher_support_recheck_90.tsv	planning_after_operation_rounds	planning_not_completion
support_bound_justification	full_general_gap_statement	obligation_blocks_statement	branch_4/90/runtime/general_gap_statement_scope_inventory_90.tsv	blocking	status_operation_and_possible_true_escape_bound_missing
solver_constructivity_bridge	full_general_gap_statement	obligation_blocks_statement	branch_4/90/runtime/boj_solver_bridge_readiness_audit_90.tsv	later_constructivity_not_in_scope	no_solver_implementation
