construction_step	input_component	output_component	active_support_used	projection_rule	support_before	support_after	measure_delta	normal_form_preserved	payload_relation_preserved	counterexample_status_preserved	counterexample_status_reduced	failure_condition	failure_escape	missing_sublemma	current_status
compute_active_support	W support set S	active set A	union of payload/certificate/frontier/shell/tail/canonical/family-chain fields	A=active_support(W)	|S|	k_active<=|S|	none	yes as definition	not applicable	not applicable	not applicable	active fields unavailable	named_active_support_definition_blocker	active support completeness for arbitrary witnesses	proved_under_current_scope
check_strict_subset	W with A subset S	applicability classification	A	If A proper subset, projection applies; if A=S, no-op	k	|A|	if |A|<k then negative first coordinate	not applicable	not applicable	not applicable	not applicable	A=S	no_smaller_witness_route_to_next_operation	none	proved_under_current_scope
restrict_witness_to_active_support	W components on S	components on A	A	Restrict payload, certificate, motif, and family-chain fields to A	k	|A|	negative if strict subset	proof_sketch_ready	proof_sketch_ready	proof_sketch_ready	possible	if required field outside A	projection_payload_or_status_blocker	payload/certificate transfer proof	proof_ready_skeleton
renormalize_output	restricted witness W|A	normal witness W_active	A	normalize(W|A)	k	|A|	negative if strict subset	proof_sketch_ready	conditional	conditional	possible	renormalization fails	projection_normal_form_blocker	normal-form preservation under active projection	proof_sketch_ready
measure_decrease	W has inactive support	S smaller to A	A proper subset S	support_size k to |A|	k	|A|<k	strictly negative in first tuple coordinate	not needed	not needed	not needed	not needed	A not strict	noop_not_smaller	none	proved_under_current_scope
payload_refinement_transfer	source/target payload relation on S	relation on A	A contains payload support	project relation to active coordinates	k	|A|	negative if strict	proof_sketch_ready	proof_sketch_ready	not direct	not direct	payload coordinate omitted	projection_payload_refinement_blocker	payload refinement preservation	proof_sketch_ready
counterexample_status_transfer	counterexample certificate on S	certificate on A	A contains certificate support	transfer certificate after projection	k	|A|	negative if strict	proof_sketch_ready	conditional	proof_sketch_ready	proof_sketch_ready	certificate uses inactive coordinate	projection_status_preservation_blocker	counterexample-status preservation theorem	blocked_by_counterexample_status
family_chain_source_transfer	recognized source form on S	recognized source form on A	A contains recognizer/lift fields	restrict recognized fields to A	k	|A|	negative if strict	proof_sketch_ready	conditional	conditional	possible	recognizer field omitted	family_chain_source_projection_blocker	family-chain source-form preservation proof	proof_sketch_ready
failure_to_escape	invalid active support or failed projection	named non-application or escape	A invalid or insufficient	no valid smaller witness	k	k	none	no	no	no	no	no active projection applies	next operation or higher-support escape after operation exhaustion	higher-support bound for closure	proved_under_current_scope_as_partition
final_status	project-to-active smaller-witness construction	partial smaller witness or named failure	A=active_support(W)	W_active=normalize(restrict(W,A))	k	|A|	strict if inactive support exists	proof_sketch_ready	proof_sketch_ready	proof_sketch_ready	possible	no inactive support or preservation failure	remaining operation or higher-support escape	counterexample-status and normal-form preservation	project_to_active_smaller_witness_measure_proved_status_preservation_open
