obligation_key	statement	needed_for_limited_support8	needed_for_bounded_shell	needed_for_full_general	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_tail_monotonicity	dependency_on_shell16	dependency_on_higher_support	dependency_on_BOJ_constructivity	can_attempt_now	recommended_next_action
existence_of_minimal_witness	If a witness exists in the selected finite/admissible class, a lexicographically minimal witness exists.	1	1	1	selected measure;finite/current witness class	admissibility for full general	derivable_now	no	no	no	no	1	record_proved_under_current_scope
normalization_preserves_counterexample	Canonical/normal-form conversion preserves counterexample status.	1	1	1	runtime canonicalization;rowset fingerprints	full mathematical equivalence proof	proof_sketch_ready	no	no	no	no	1	canonicalization_soundness_bridge
support_reduction_or_escape	Witness is within support8 or exits to higher-support obligation.	0	0	1	support8 closure;escape taxonomy	support-bound theorem	proof_sketch_ready	no	no	yes	no	1	defer_support_bound_until_reduction_shape
shell_reduction_or_escape	Witness is within shell15/tail package or exits to shell16 obligation.	0	1	1	shell15 theorem;optional shell16 ledger;shell16 promoted boundary facts	full shell extension structural proof or absorption proof	closed_for_limited_bridge_theorem	no	reviewed	no	no	1	after_family_chain_lift
tail_absorption_or_escape	Witness is absorbed by checked tail pattern or exits to tail monotonicity obligation.	1	1	1	tail pattern;tail obstruction chain;tail monotonicity bridge skeleton;shell16 promoted boundary facts	extension absorption beyond first boundary	closed_for_limited_bridge_theorem	partial	reviewed	no	no	1	after_family_chain_lift
frontier_capture	Normalized witness maps into existing frontier ladder/candidate universe for selected scope.	1	1	1	lower-frontier direct subset fresh;inventory-only decision	frontier coverage proof	proof_sketch_ready	no	possible	possible	no	1	frontier_ladder_completeness_bridge
family_chain_capture	Bounded family witness is captured by fresh 7/7 family-chain package.	1	1	1	bounded family-chain theorem;family lower layers 7/7	general family lift beyond bounded scope	derivable_now	no	no	possible	no	1	record_proved_under_current_scope_for_bounded_family
obstruction_chain_capture	Tail obstruction chain closes captured finite survivor or names exception.	1	1	1	tail obstruction chain;support8 lock	structural interpretation for arbitrary normalized witness	proof_sketch_ready	possible	possible	no	no	1	finite_exhaustion_to_structural_bridge
finite_package_contradiction	If witness lands in the current finite package, support8 closure contradicts it.	1	1	1	support8 lock;provenance audit;family-chain 7/7	none inside current finite package	derivable_now	no	no	no	no	1	record_proved_under_current_scope
escape_obligations_are_named_and_disjoint	Every non-captured case exits through a named disjoint obligation class.	1	1	1	escape interface;candidate inventory	none for taxonomy;proof of exhaustiveness for full general	derivable_now	no	no	no	no	1	record_proved_under_current_scope_taxonomy
