domain_component	definition	source_condition	projected_condition	transfer_rule	proof_requirement	failure_effect	current_status	caveat
source_status_domain	The source witness dependency domain used by counterexample-status semantics.	W has status predicate well-formed over source domain	none yet	source domain is the comparison base	status-domain extractor for source witness	source status ill-formed escape	proved_under_current_scope	Source well-formedness is not projection transfer.
active_support_projected_domain	The status-domain visible after W_active=normalize(restrict(W,A)).	active support A selected	projected witness has domain over active coordinates and projected status data	restrict source domain to active dependency image, then normalize	projected-domain construction	projected status-domain blocker	proved_under_current_scope	Projected domain may be restriction/refinement, not equality.
projected_domain_as_restriction	Projection drops source-domain fields indexed only by inactive support.	inactive fields are not status-relevant	projected status predicate omits those fields	domain_restrict(source_domain,A)	inactive-support domain irrelevance	domain reduction or escape	proof_sketch_ready	Payload locality alone does not prove domain irrelevance.
projected_domain_as_quotient	Projection may identify status dependencies that become indistinguishable after inactive coordinates are removed.	dependencies agree on active support	projected dependencies are represented once	quotient only over inactive-equal dependencies	quotient compatibility with status predicate	domain quotient blocker	proof_sketch_ready	This is not coordinate contraction.
projected_domain_as_refinement	Projection refines the source status-domain by keeping only active, status-relevant dependencies.	source domain decomposes into active and inactive-local parts	projected domain contains active dependencies with preserved labels	domain_refine(source_domain,A,status_dependency_map)	refinement preserves predicate meaning	status-predicate blocker	project_to_active_domain_transfer_proof_ready_refinement_status_predicate_open	Proof-ready, not a completed status-locality theorem.
domain_preserved_case	Projected domain is equal to source domain modulo representation.	all status dependencies are active	no status-domain field removed	identity transfer	active dependency containment	fall through to refinement/reduction	proof_sketch_ready	Does not cover shrinking active support.
domain_refined_case	Projected domain is a restriction/refinement preserving status predicate meaning.	inactive dependencies are irrelevant or locally determined	projected predicate interprets same counterexample status over refined domain	refined-domain comparison	status predicate determination over refined domain	status-predicate blocker	project_to_active_domain_transfer_proof_ready_refinement_status_predicate_open	Normal-form interface remains required.
domain_reduced_case	Projected domain loses source-status information but still forms a valid reduced counterexample branch.	strict active subset;source domain shrinks	projected witness status remains valid	route to smaller-witness branch	valid reduced-status theorem	smaller-witness blocker	proof_sketch_ready	Measure decrease is separate from valid status.
domain_lost_case	Projection removes status-relevant data with no current refined predicate interpretation.	status dependency appears inactive but relevant	projected status predicate cannot be formed	not accepted as preservation or reduction	none under current proof; classify failure	named operation blocker	named_escape_ready	Not hidden as proof-ready preservation.
domain_escape_case	Domain transfer is outside current active-support contract or needs a true higher-support bound.	unclassified dependency or support-growth escape	projected domain outside current refinement map	named escape	escape inventory	higher-support deferred escape	proved_under_current_scope	Escape is not a proof of transfer.
relation_to_inactive_support_locality	Inactive support can be removed only if no counterexample-status dependency needs it.	inactive=S_minus_A	W_active omits inactive support	inactive domain irrelevance or reduced-status branch	counterexample-status locality	domain blocker remains	project_to_active_domain_transfer_proof_ready_refinement_status_predicate_open	Payload locality is necessary but not sufficient.
relation_to_payload_locality	Payload locality supplies active carrier containment for payload fields.	payload carriers are active	payload preserved in projected witness	payload data can feed domain transfer	payload-to-status dependency sublemma	status predicate blocker	inactive_support_payload_locality_proved_under_current_scope	Does not automatically imply status-domain transfer.
relation_to_counterexample_status_predicate	Status predicate meaning must be invariant or validly reduced under the projected domain.	source status predicate well-formed	projected status predicate well-formed over refined domain	status predicate preservation, reduction, or escape	status predicate determination over projected domain	status-predicate blocker	proof_ready_status_predicate_open	This is why the operation is not fully proved.
