metric	value
lemma_name	project_to_active_status_preserved_under_locality_or_reduced_or_escape
selected_statement	project_to_active_status_preserved_under_locality_or_reduced_or_escape
exact_statement	For a normal witness W with active support A strictly inside support S, W_active=normalize(restrict(W,A)) preserves counterexample status under payload/status locality and normal-form/domain transfer, reduces to a smaller valid witness if status domain changes but remains valid, or routes failure to a named project-to-active blocker/deferred higher-support escape.
assumption_count	10
conclusion	Project-to-active status blocker is refined from generic inactive-support locality open to payload-locality proved and counterexample-status locality proof-ready with status-domain/normal-form/reduced-status obligations open.
active_support_definition	A is the union of payload, certificate/status, frontier/shell/tail, canonical motif, and family-chain dependency coordinates.
source_projected_relation	W_active=normalize(restrict(W,A))
inactive_support_irrelevance_status	inactive_support_payload_locality_proved_under_current_scope_and_status_domain_open
payload_preservation	proved_under_current_scope_for_payload_carriers
counterexample_status_preservation	proof_sketch_ready_if_status_domain_invariance_normal_form_and_status_dependency_containment_hold
smaller_witness_fallback	proof_sketch_ready_if_projected_status_is_valid_reduced_counterexample
measure_decrease_use	proved_under_current_scope_for_strict_active_subset
normal_form_preservation	proof_sketch_ready_status_domain_open
family_chain_source_form_preservation	proof_sketch_ready
failure_to_escape_case	proved_under_current_scope_as_named_project_to_active_blocker_or_deferred_higher_support_escape
relation_to_delete_redundant_operation	separate_operation_project_to_active_removes_inactive_subset_not_single_redundant_coordinate
relation_to_status_congruence_bridge	refines_project_to_active_row_to_payload_proved_status_domain_open
project_to_active_status_obligation_count	10
proved_under_current_scope_sublemma_count	3
proof_sketch_only_sublemma_count	4
blocked_sublemma_count	1
missing_steps	status-domain invariance;complete status dependency extraction;normal-form preservation;valid reduced-status fallback;family-chain source-form projection
exact_caveat	project_to_active_status_not_proved_project_to_active_operation_not_fully_proved_full_support_reduction_not_proved_no_support9_scan_full_general_theorem_not_proved
final_status	proof_ready_skeleton_project_to_active_locality_status_domain_open
next_blocker	contract_equivalent_status_congruence_refinement
