obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_refined_lift_map	dependency_on_recognizer	dependency_on_canonicalization	dependency_on_family_chain_theorem	dependency_on_higher_support	can_attempt_now	recommended_next_action
payload_well_defined_on_recognized_sources	Recognized source-form witnesses carry a well-defined source obstruction payload.	1	family_chain_source_form_recognizer_90.tsv;family_chain_obstruction_payload_semantics_90.tsv	recognizer soundness for arbitrary witness	proved_under_current_scope	yes	yes	no	no	no	1	use_as_payload_contract
lifted_payload_well_defined	The refined lift produces a well-defined target payload object for recognized sources.	1	family_chain_refined_lift_map_90.tsv;family_chain_obstruction_payload_semantics_90.tsv	target payload language proof	proved_under_current_scope	yes	yes	possible	yes	no	1	use_as_lifted_payload_contract
source_target_payload_equality_or_refinement	Source and target payloads satisfy the equality/refinement relation needed for preservation.	1	family_chain_layer_projection_payload_preservation_90.tsv;family_chain_canonical_lift_soundness_90.tsv	status preservation;operation-specific smaller witness	proof_ready_skeleton	yes	yes	yes	possible	no	1	prove_support_reduction_operation_sublemma
canonicalization_preserves_payload	Canonicalizing source and target rows does not change payload meaning.	1	family_chain_refined_lift_map_90.tsv	canonical_lift_soundness	needs_canonicalization_sublemma	yes	yes	yes	possible	no	1	canonicalization_commutes_with_lift_sublemma
obstruction_payload_preserved	The lifted target payload preserves source obstruction meaning.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_lift_phase3_obligation_inventory_90.tsv	counterexample-status preservation theorem	proof_sketch_ready	yes	yes	yes	yes	no	1	prove_support_reduction_operation_sublemma
counterexample_status_preserved	Counterexample status is preserved by the lifted payload.	1	family_chain_counterexample_status_preservation_theorem_90.tsv;family_chain_lift_phase3_obligation_inventory_90.tsv	status preservation theorem	needs_status_preservation_sublemma	yes	yes	yes	yes	no	1	prove_support_reduction_operation_sublemma
counterexample_status_reduced_when_not_preserved	If status is not preserved, the construction yields a smaller witness.	1	family_chain_smaller_witness_construction_90.tsv;support_bound_measure_90.tsv	operation-specific smaller witness construction	needs_smaller_witness_sublemma	yes	yes	possible	no	possible	1	prove_support_reduction_operation_sublemma
family_chain_theorem_absorbs_lifted_payload	A validly lifted target payload is absorbed by the bounded family-chain theorem.	1	family_chain_support_absorption_90.tsv;family_chain_lower_layers_fingerprint_90.tsv	none after valid lifted payload	proved_under_current_scope	yes	no	no	yes	no	1	use_as_conditional_absorption
self_verification_confirms_lifted_consistency	Self verification confirms consistency of valid lifted target objects.	1	family_chain_lower_layers_fingerprint_90.tsv;family-chain theorem audit	none after target-language membership	proved_under_current_scope	yes	no	no	yes	no	1	use_as_conditional_consistency
preservation_failure_is_named_escape	Preservation failure is routed to named higher-support or payload-preservation blocker.	1	higher_support_escape_interface_90.tsv;family_chain_source_form_classification_90.tsv	higher-support bound for closure	proved_under_current_scope_as_partition	yes	yes	possible	no	yes	1	higher_support_necessity_recheck
no_hidden_payload_failure_case	All preservation failure cases are represented in payload semantics/status semantics/phase2/escape inventories.	1	family_chain_lift_phase2_obligation_inventory_90.tsv;higher_support_escape_interface_90.tsv	arbitrary payload completeness proof	proof_sketch_ready	yes	yes	yes	possible	yes	1	higher_support_necessity_recheck
