component_key	definition	runtime_analogue	mathematical_role	relation_to_current_operation	relation_to_payload_refinement	relation_to_counterexample_status	current_status	caveat
motif	A finite local pattern carried by a support witness, including canonical row, payload slots, and certificate-visible roles.	canonical structured schema row plus payload/certificate descriptors	Basic object compressed by this operation	Input component of canonical motif compression	Motif payload can refine source payload only under declared mapping	Status role not automatic	proof_sketch_ready	General mathematical motif completeness remains outside this operation.
proof_motif	Motif together with the proof/certificate fields used by obstruction or counterexample status.	schema row plus obstruction/counterexample annotations	Prevents compression from ignoring certificate data	Compression must preserve or reduce proof motif	Status preservation depends on proof motif transfer	Needed for counterexample preservation	blocked_by_counterexample_status	Status transfer theorem not proved.
canonical_motif	Motif after canonical relabeling and selected normal-form ordering.	canonical sparse or structured local schema fingerprint	Defines stable comparison and rank	Compression source and target are canonical motifs	Canonical representative fixes payload comparison	Canonical representative may still lose status	proof_ready_skeleton	Canonical soundness proof remains partial.
motif_support	Support coordinates used by the motif.	schema num and participating coordinate set	Measures support effect of compression	Support may decrease or remain fixed	Payload coordinates must map into compressed motif	Status certificate coordinates must map or reduce	proof_sketch_ready	Support preservation outside accepted compression is not proved.
motif_payload	Payload fields attached to the motif.	obstruction payload row fields	Connects motif rewrite to payload refinement	Compressed motif must carry refining payload	Core payload-refinement dependency	Status preservation not implied	proof_sketch_ready	Payload refinement theorem remains proof-sketch.
motif_rank	Canonical ordering rank of the motif among motifs with fixed support size.	canonical_rank tie-breaker in lexicographic_support_tuple	Secondary decrease measure when support size is unchanged	Compression must strictly lower this rank if support is unchanged	Payload may be refined by lower-rank representative	Status may fail despite rank decrease	proved_under_current_scope	Rank soundness outside selected canonical row contract remains proof-sketch.
compressible_motif	A canonical motif with an accepted lower-rank representative preserving declared payload/canonical preconditions.	canonical mismatch smaller-witness row	Operation trigger	If present, compression is attempted	Payload preservation is a precondition or proof obligation	Status preservation is a precondition or blocker	proved_under_current_scope	Existence of a compressible motif for every witness is not proved.
compressed_motif	The lower-rank motif selected by the compression rule.	reduced canonical row	Operation output component	Substituted into the witness	Payload should refine source motif payload	Status relation remains open	proved_under_current_scope	Only defined under accepted compression relation.
motif_equivalence	Same canonical motif role up to accepted canonical row equality, not coordinate equivalence.	canonical row equality or refinement key	Prevents confusion with coordinate equivalence	May justify rewrite but not support quotient	Payload equality/refinement can be checked at motif level	Status equivalence is not automatic	proof_sketch_ready	Motif equivalence is weaker than status equivalence.
motif_refinement	Compressed motif is no stronger than source motif for obstruction payload semantics and lower in selected measure.	canonical_quotient_refinement or counterexample_reducing_refinement	Relates source and compressed witness	Used to justify payload preservation	Payload refinement proof-sketch	Status reduction requires operation-specific theorem	proof_sketch_ready	Counterexample refinement not proved.
motif_compression_failure	No accepted lower-rank motif or missing preservation/congruence proof.	canonical_mismatch_escape	Names non-success without hiding it	Routes to later operation or escape	Payload failure is named	Counterexample failure is named	proved_under_current_scope_as_classification	Does not close higher-support escape.
support_normal_form_relation	Compression output must be normalized back into support witness normal form.	support_witness_normal_form	Ensures output is comparable under support measure	Normalize after motif rewrite	Payload slots must survive normalization	Status certificate must survive normalization	proof_sketch_ready	Normal-form preservation under motif rewrite not fully proved.
family_chain_source_form_relation	Compressed motif may remain recognized family-chain source form only under layer compatibility.	family_chain_source_form_recognizer	Connects compression to phase3 branch	Operation may feed family-chain lift status	Payload relation layerwise proof-sketch	Status preservation remains blocked	proof_sketch_ready	Not a family-chain absorption proof.
payload_refinement_relation	Motif compression should imply payload refinement when motif payload maps to compressed payload.	family_chain_payload_refinement_relation_90.tsv	Links operation to obstruction preservation	Needed for proof skeleton	Payload refinement proof-sketch	Status preservation not implied	proof_sketch_ready	Obstruction-preservation theorem remains partial.
counterexample_status_relation	Compression must preserve counterexample status or construct a smaller status-refuting witness.	family_chain_counterexample_status_preservation_theorem_90.tsv	Sharp semantic blocker for operation success	Not proved this round	May use payload refinement as prerequisite	Counterexample status remains blocked	blocked_by_counterexample_status	No unconditional status theorem.
higher_support_escape_relation	If compression is unavailable or semantic preservation fails, the case is named for later higher-support or operation work.	higher_support_escape_interface_90.tsv	Prevents hidden failure	Failure routing component	No payload claim	No status claim	proved_under_current_scope_as_classification	Classification is not closure.
final_status	Canonical motif notation is contract-ready with motif/rank/compression/failure notions first-class and status preservation open.	selected canonical motif contract	Notation boundary for this operation	Supports compression skeleton	Payload refinement proof-sketch	Counterexample status blocked	canonical_motif_notation_contract_ready	No full operation theorem.
