step_id	step_name	claim	inputs_used	proof_status	evidence_path	caveat
1	statement_selected	The selected statement is limited_support8_shell16_boundary_bridge, not the full general theorem.	limited_bridge_theorem_statement_90.tsv	proved_under_current_scope	branch_4/90/runtime/limited_bridge_theorem_statement_90.tsv	Scope restricted to support8 checked tail plus reviewed shell16 boundary.
2	input_ledger_fixed	All facts used by the proof are current verified, proof-ready, or reviewed shell16 boundary facts with explicit disallowed uses.	limited_bridge_theorem_input_ledger_90.tsv	proved_under_current_scope	branch_4/90/runtime/limited_bridge_theorem_input_ledger_90.tsv	Shell16 facts are not full theorem promotion.
3	minimal_counterexample_setup	A selected-scope counterexample can be represented by the current minimal-counterexample skeleton and measure.	minimal_counterexample_reduction_limited_skeleton_90.tsv	proved_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_reduction_limited_skeleton_90.tsv	Full support-bound generality is outside scope.
4	normalization_step	The selected witness routes through the current normal-form and escape-interface taxonomy.	minimal_counterexample_witness_normal_form_90.tsv;minimal_counterexample_escape_interface_90.tsv	proved_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	Canonicalization soundness beyond this contract remains named.
5	finite_package_case	If the witness is captured by the finite support8 package, it contradicts the support8 lock.	current_support8_closure_certificate_90.tsv	proved_under_current_scope	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	Finite package only.
6	checked_tail_case	If the witness is in checked tail range 9..15, tail pattern and obstruction-chain evidence capture it.	tail_monotonicity_limited_bridge_skeleton_90.tsv;support8_tail_obstruction_chain_notes_90.md	proved_by_tail_bridge	branch_4/90/runtime/tail_monotonicity_sublemma_proofs_90.tsv	Full tail monotonicity not proved.
7	shell16_boundary_case	If the witness is the first shell16 boundary theorem-preserving escape, reviewed shell16 facts give zero theorem-preserving survivors.	shell16_promoted_boundary_facts_90.tsv	proved_by_reviewed_shell16_fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	No full shell16 theorem promotion.
8	local_exact_nonblocking	The two local-exact shell16 survivors do not block this limited theorem because both fail plus-one and no theorem-preserving survivor remains.	shell16_local_exact_survivor_analysis_90.tsv;shell16_local_exact_nonblocking_lemma_90.tsv	proved_by_reviewed_shell16_fact	branch_4/90/runtime/shell16_local_exact_nonblocking_lemma_90.tsv	This is not a zero-local-exact claim.
9	named_escape_case	Support-bound, full tail monotonicity, and BOJ constructivity escapes are named out-of-scope obligations rather than selected-theorem blockers.	general_gap_bridge_obligation_inventory_90.tsv	out_of_scope_named_obligation	branch_4/90/runtime/limited_bridge_theorem_obligation_closure_90.tsv	They remain blockers for broader general theorem tracks.
10	finite_contradiction	The remaining in-scope cases are contradicted by the finite package, checked tail closure, or reviewed shell16 no-theorem-preserving boundary fact.	support8_lock;tail_bridge;shell16_review	proved_under_current_scope	branch_4/90/runtime/limited_bridge_theorem_obligation_closure_90.tsv	Only selected limited scope.
11	theorem_scope_conclusion	The selected limited bridge theorem is proved under current scope.	all selected inputs	proved_under_current_scope	branch_4/90/runtime/limited_bridge_theorem_status_90.tsv	Full general theorem remains unproved.
12	non_claims	The proof does not assert full shell16 theorem, full general theorem, zero local-exact survivors, support-bound sufficiency, or full tail monotonicity.	input ledger disallowed uses	proved_under_current_scope	branch_4/90/runtime/limited_bridge_theorem_input_ledger_90.tsv	These are explicit caveats, not hidden proof gaps.
