metric	value
lemma_name	equivalent_coordinate_status_preserved_under_refined_congruence_or_reduced_or_escape
selected_statement	equivalent_coordinate_status_preserved_under_refined_congruence_or_reduced_or_escape
exact_statement	For a normal support>8 witness W with accepted equivalence ~ and nontrivial quotient q:S->S/~, W_contract=normalize(pushforward(W,q)) preserves counterexample status under payload congruence, status-domain transfer, normal-form transfer, and status-predicate congruence, otherwise yields a smaller valid reduced witness or a named coordinate-contraction blocker/deferred higher-support escape.
assumption_count	9
conclusion	Coordinate-contraction congruence is first-class and proof-ready; payload congruence is proof-sketch ready, while status-domain, normal-form, status-predicate, and reduced-status obligations remain open.
equivalent_coordinate_definition	accepted classes combine syntactic, payload, canonical, status/certificate, and family-chain source-role compatibility
quotient_witness_relation	W_contract=normalize(pushforward(W,q))
status_domain_transfer	contract_equivalent_status_domain_transfer_proof_ready_quotient_domain_open
normal_form_transfer	contract_equivalent_normal_form_transfer_proof_ready_quotient_normal_form_open
payload_congruence	proof_sketch_ready_payload_role_congruence
counterexample_status_congruence	equivalent_coordinate_congruence_payload_ready_domain_normal_form_open
smaller_witness_fallback	proof_sketch_ready_if_quotient_status_is_valid_reduced_counterexample
failure_to_escape_case	proved_under_current_scope_as_named_coordinate_contraction_blocker_or_deferred_higher_support_escape
relation_to_previous_coordinate_status_skeleton	refines proof_ready_skeleton_contract_equivalent_status_congruence_open into domain/normal-form/status-predicate obligations
relation_to_project_to_active_locality_result	separate operation; project removes inactive support while contraction merges active equivalent coordinates; both need status-domain/normal-form transfer
relation_to_status_congruence_bridge	refines coordinate-contraction row to payload/domain/normal-form open proof-ready skeleton
missing_steps	status-domain invariance;quotient normal-form transfer;layerwise payload refinement;status predicate determination;valid reduced-status theorem;family-chain source-form quotient transfer
exact_caveat	contract_equivalent_operation_not_fully_proved_support_bound_not_completed_support8_sufficiency_not_proved_no_support9_scan_full_general_theorem_not_proved
final_status	proof_ready_skeleton_contract_equivalent_congruence_domain_normal_form_open
