normal_form_component	definition	runtime_analogue	mathematical_role	required_verified_input	missing_sublemma	current_status
tail_witness_object	A candidate outside-bounded tail row plus survivor status and obstruction-chain classification.	support8_tail_candidate_fingerprints_90.tsv;support8_tail_stabilization_certificate_90.tsv	unit of checked tail capture	support8_outside_bounded_tail_pattern_theorem	none inside checked range	current_verified_checked_form
support_side	Whether the witness is the support7 lift side or support8 side of the checked pattern.	support7_candidate_fingerprints;support8_candidate_fingerprints	records lift invariance across support side	validate_support8_tail_candidate_lift_invariance_	general support lift beyond support8	proof_sketch_ready
tail_index_bounds	The checked tail interval from antecedent bound 9 to 15.	tail_start_antecedent_bound;tail_end_antecedent_bound	defines checked tail range	support8_tail_stabilization_certificate_90.tsv	extension beyond 15 not materialized	current_verified_checked_form
shell_index	The shell15/current-tail boundary represented by shell_count 7.	shell_count_validated=7	defines first shell-boundary context	support8_tail_stabilization_certificate_90.tsv	shell16 preflight for next boundary	current_verified_checked_form
outside_bounded_candidate_link	Canonical candidate fingerprint from shell15 frontier pair.	candidate fingerprint rows	maps witness to frontier row	shell15_frontier_generation_fingerprint_90.tsv	broader frontier completeness	proof_sketch_ready
survivor_status	Local exact, plus-one, and theorem-preserving survivor counts.	local_exact_survivors;plus_one_survivors;theorem_preserving_survivors	eliminates checked survivor witness	support8_tail_stabilization_certificate_90.tsv	no_new_survivor_under_extension	proved_under_current_scope_for_checked_range
obstruction_chain_status	Whether shell15 theorem plus tail pattern plus audits validate obstruction chain.	support8_tail_obstruction_chain_notes_90.md	closes checked tail obstruction case	support8_tail_obstruction_chain_theorem	extension structural interpretation	proved_under_current_scope_for_checked_range
extension_distance	Distance beyond the checked tail/shell boundary.	not materialized in current runtime	ranks unchecked extension witness	minimal_counterexample_escape_interface_90.tsv	absorption step or shell16 attempt	needs_shell16_attempt
canonical_tail_fingerprint	Runtime canonical text fingerprint of the checked candidate.	support8_tail_candidate_fingerprints_90.tsv	stable checked-row comparison	current tail candidate artifact	full mathematical equivalence proof	proof_sketch_ready
escape_class	If not checked/captured, route to shell16, higher support, or other named escape.	minimal_counterexample_escape_interface_90.tsv	prevents false verified claim	minimal counterexample escape interface	exhaustiveness for full general	proof_ready_skeleton
