metric	value
lemma_name	canonical_motif_status_preserved_under_refined_congruence_or_reduced_or_escape
selected_statement	canonical_motif_status_preserved_under_refined_congruence_or_reduced_or_escape
exact_statement	For a normal support>8 witness W with accepted canonical motif compression M->M_comp, W_comp=normalize(rewrite(W,M,M_comp)) preserves counterexample status under payload congruence, status-domain transfer, normal-form transfer, and status-predicate congruence, otherwise yields a smaller valid reduced witness or a named canonical-compression blocker/deferred higher-support escape.
assumption_count	9
conclusion	Canonical-compression congruence is first-class and proof-ready; payload congruence is proof-sketch ready, while status-domain, normal-form, status-predicate, and reduced-status obligations remain open.
canonical_motif_definition	finite canonical motif with support, payload, certificate-role, status-domain, and motif-rank data
compressed_witness_relation	W_comp=normalize(rewrite(W,M,M_comp))
status_domain_transfer	canonical_compression_status_domain_transfer_proof_ready_motif_domain_open
normal_form_transfer	canonical_compression_normal_form_transfer_proof_ready_motif_normal_form_open
payload_congruence	proof_sketch_ready_motif_payload_congruence
counterexample_status_congruence	canonical_motif_congruence_payload_ready_domain_normal_form_open
smaller_witness_fallback	proof_sketch_ready_if_compressed_status_is_valid_reduced_counterexample
failure_to_escape_case	proved_under_current_scope_as_named_canonical_compression_blocker_or_deferred_higher_support_escape
relation_to_previous_canonical_status_skeleton	refines proof_ready_skeleton_canonical_compression_status_congruence_open into domain/normal-form/status-predicate obligations
relation_to_coordinate_congruence_refinement	separate operation; coordinate contraction quotients equivalent support coordinates, while compression rewrites canonical motifs
relation_to_project_to_active_locality_result	separate operation; project removes inactive support while compression rewrites an active canonical motif; both need status-domain/normal-form transfer
relation_to_status_congruence_bridge	refines canonical-compression row to payload/domain/normal-form open proof-ready skeleton
missing_steps	motif status-domain invariance/refinement;motif normal-form transfer;layerwise payload refinement;status predicate determination;valid reduced-status theorem;family-chain source-form motif transfer
exact_caveat	canonical_compression_operation_not_fully_proved_support_bound_not_completed_support8_sufficiency_not_proved_no_support9_scan_full_general_theorem_not_proved
final_status	proof_ready_skeleton_canonical_compression_congruence_domain_normal_form_open
