sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
operation_preconditions_recognized	proof_sketch_only	witness is in support normal form and a candidate coordinate is presented	the redundancy predicate is checkable from payload/certificate/family-chain fields	The operation has a component-level redundancy predicate, but this does not prove arbitrary witnesses contain such a coordinate.	branch_4/90/runtime/support_reduction_selected_operation_semantics_90.tsv	redundancy existence/completeness for arbitrary support-growth witnesses	prove_next_support_reduction_operation_sublemma
operation_output_well_defined	proved_under_current_scope	redundancy predicate holds	restricting the witness to S without c defines an output witness	All referenced payload and certificate fields omit c by precondition, so restriction is defined.	branch_4/90/runtime/support_reduction_selected_operation_semantics_90.tsv	none inside selected precondition	use_selected_operation_contract
operation_output_normal_form	proof_sketch_only	output witness is defined	output can be renormalized into selected support normal form	The existing normal-form contract supplies the projection target, but deletion-specific preservation for arbitrary schemas remains proof-sketch.	branch_4/90/runtime/support_notation_and_normal_form_90.tsv	normal-form preservation under deletion	prove_next_support_reduction_operation_sublemma
operation_strictly_decreases_support_measure	proved_under_current_scope	c in S and output support is S without c	lexicographic support measure strictly decreases	The first support-measure coordinate `support_size` changes from k to k-1, so no later coordinate is needed.	branch_4/90/runtime/support_bound_measure_90.tsv	none	use_measure_decrease
operation_preserves_payload_refinement	proof_sketch_only	redundant coordinate is absent from source and target payload relation	payload refinement is preserved by restriction	The proof is immediate for payload rows omitting c, but arbitrary family-chain layer/canonical payload transfer still needs a schema-level sublemma.	branch_4/90/runtime/family_chain_payload_refinement_relation_90.tsv	payload-refinement transfer for arbitrary schemas	prove_next_support_reduction_operation_sublemma
operation_preserves_or_reduces_counterexample_status	proved_under_current_scope	counterexample certificate does not mention c	the same certificate transfers to the smaller witness, or minimality is refuted	The redundancy precondition includes certificate irrelevance. Therefore a source counterexample remains a counterexample after deletion, producing a smaller witness against minimality.	branch_4/90/runtime/support_reduction_selected_operation_smaller_witness_90.tsv	none inside strong redundancy precondition	use_selected_operation_contract
operation_commutes_with_canonicalization	proof_sketch_only	deleted coordinate is redundant and canonical reindexing is available	deletion commutes with canonicalization up to row reindexing	Phase3 canonical lift soundness makes this proof-ready, but this round does not prove the full canonical reindexing lemma.	branch_4/90/runtime/family_chain_canonical_lift_soundness_90.tsv	canonical reindexing proof	prove_next_support_reduction_operation_sublemma
operation_respects_family_chain_lift	proof_sketch_only	recognized family-chain source form and c outside all lift fields	recognized source form is preserved after deletion	The recognizer/lift map expose the needed fields, but arbitrary recognized-source preservation still needs a family-chain field-irrelevance proof.	branch_4/90/runtime/family_chain_source_form_recognizer_90.tsv	family-chain field irrelevance proof	prove_next_support_reduction_operation_sublemma
operation_failure_is_named_escape	proved_under_current_scope	no redundant coordinate satisfies selected precondition	this selected operation does not apply and the case is routed to next operation or escape	The higher-support escape interface already distinguishes operation non-application from proof success.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound for final closure	higher_support_necessity_recheck
no_hidden_operation_failure_case	proof_sketch_only	selected operation taxonomy is applied	success and failure/non-application classes are explicit	The current inventory has no hidden fourth class for this operation, but arbitrary witness completeness remains proof-sketch.	branch_4/90/runtime/support_reduction_operation_sublemma_scope_inventory_90.tsv	arbitrary witness completeness	higher_support_necessity_recheck
