obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_family_chain_lower_layers	dependency_on_support_reduction	dependency_on_higher_support	can_attempt_now	recommended_next_action
support_growth_witness_has_family_chain_form	An accepted support-growth witness has the recognized source form needed by the refined family-chain lift map.	1	family_chain_source_form_recognizer_90.tsv;support_gt8_witness_anatomy_90.tsv	recognizer_soundness_proof	proof_sketch_ready	possible	yes	possible	1	family_chain_lift_obstruction_preservation_proof
lift_map_well_defined	The refined lift map is defined for every recognized source-form witness.	1	family_chain_refined_lift_map_90.tsv	none beyond recognizer acceptance	proved_under_current_scope	yes	yes	no	1	use_as_refined_map_contract
lift_preserves_normal_form	The lift is compatible with support normal form and family-chain target normal form.	1	support_notation_and_normal_form_90.tsv;family_chain_source_form_recognizer_90.tsv	canonical_lift_soundness	proof_sketch_ready	yes	yes	possible	1	canonicalization_commutes_with_lift_sublemma
lift_preserves_obstruction_status	The lifted family-chain object preserves obstruction/counterexample status.	1	family_chain_lift_phase2_obligation_inventory_90.tsv	layerwise payload preservation;status preservation	proof_sketch_ready	yes	yes	no	1	family_chain_lift_phase3_if_needed
lift_targets_fresh_family_chain_layers	Whenever the refined lift reaches a family-chain target layer, that layer is in the fresh 7/7 lower-layer package.	1	family_chain_lower_layers_fingerprint_90.tsv	none for target freshness	proved_under_current_scope	yes	no	no	1	maintain_certificate
bounded_family_chain_theorem_applies	A successfully lifted bounded family-chain object is in the scope of the current bounded family-chain theorem.	1	family_chain_support_absorption_90.tsv;family-chain theorem audit	none after successful recognized lift	proved_under_current_scope	yes	yes	no	1	use_as_conditional_target_lemma
family_chain_self_verification_applies	Self verification applies to lifted objects once they are in the current family-chain target language.	1	family_chain_constructor_audit_90.tsv;family-chain theorem audit	none after successful recognized lift	proved_under_current_scope	yes	yes	no	1	use_as_conditional_consistency_lemma
lift_absorbs_support_growth_case	The support-growth family-chain branch is absorbed after a successful lift with phase2 semantic preservation.	1	family_chain_support_absorption_90.tsv;family_chain_lift_map_refinement_phase2_skeleton_90.tsv	layerwise payload preservation;status preservation	proof_sketch_ready	yes	yes	possible	1	family_chain_lift_phase3_if_needed
lift_failure_is_higher_support_escape	If recognition or preservation fails, the case is a named higher-support or non-family-chain escape.	1	higher_support_escape_interface_90.tsv;family_chain_source_form_classification_90.tsv	higher-support bound for closure	proved_under_current_scope_as_partition	no	yes	yes	1	higher_support_necessity_recheck
no_hidden_non_family_chain_case	The selected refinement has no hidden case outside recognized lift, canonical-compression, named escape, and non-family-chain branch.	1	family_chain_source_form_classification_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	possible	yes	yes	1	higher_support_necessity_recheck
