payload_component	source_definition	target_definition	equality_rule	canonicalization_rule	mathematical_role	runtime_analogue	preservation_requirement	failure_effect	current_status
source_obstruction_payload	obstruction component attached to recognized source-form witness	source-side payload before lift	source payload key equality	source canonical motif key identifies source payload	defines source obstruction/counterexample meaning	obstruction_payload field in recognizer/refined map	source payload must be well-defined	named_payload_semantics_blocker	proved_under_current_scope_as_contract
target_lifted_payload	payload attached to lifted family-chain target object	target-side payload after refined lift	target payload key equality	target canonical row identifies lifted payload	defines target family-chain obstruction object	obstruction_payload_lift row in refined map	target payload must be well-defined	named_payload_semantics_blocker	proved_under_current_scope_as_contract
payload_equality	source and target payload descriptors agree after lift	lifted payload descriptor	equality or refinement relation under canonical row	equality must survive canonical lift	semantic preservation bridge	phase2 relation/correspondence	source_target_payload_equality_or_refinement	higher_support_or_payload_preservation_blocker	proof_ready_skeleton
payload_canonicalization	source payload canonical motif	target canonical family-chain row	canonical source and target commute	canonicalization_commutes_with_lift	prevents row-equality mismatch from changing meaning	canonical_lift_row;fingerprints	canonicalization soundness required	canonicalization_blocker	proof_sketch_ready
counterexample_payload_role	source payload determines obstruction/counterexample status	target payload determines target obstruction status	status equivalence or reduction	status relation uses support measure	connects lift preservation to counterexample status	support_reduction_step_skeleton;support_bound_measure	counterexample status preservation or reduction	status_preservation_blocker	proof_sketch_ready
family_chain_layer_payload	payload routed to pair/triple/quad/quint/sext/sept/high target	payload consumed by bounded family-chain theorem	layer-specific target row equality	target layer canonicalization	allows theorem application after valid lift	family_chain_lower_layers_fingerprint;family_chain_support_absorption	payload must be in target language	language_extension_escape	proved_under_current_scope_conditional
self_verification_payload_consistency	payload is consistent with target theorem object	self-verified target object	self verification ledger consistency	target object canonical row consistency	guards target object consistency	family-chain theorem audit selfVerified=true	lifted object must be in theorem language	target_consistency_blocker	proved_under_current_scope_conditional
payload_mismatch	source and target payloads do not satisfy equality/refinement	no valid preserved target	no equality/refinement	no canonical commutation	prevents preservation theorem	no current closure artifact	route to named blocker or escape	higher_support_or_payload_preservation_blocker	proved_under_current_scope_as_escape_partition
payload_preservation_failure	refinement cannot prove payload preservation	named failed preservation case	no preservation relation	no semantic equality	broader theorem blocker	higher_support_escape_interface	preserve or reduce not established	recognized_family_chain_obstruction_preservation_open	classified_escape_open
final_status	The payload language and phase2 refinement relation are fixed, but semantic layerwise preservation remains open.	The lifted payload language is fixed conditionally.	contract equality/refinement only	canonicalization proof pending	first-class preservation target	family_chain_lift_phase2_obligation_inventory	layerwise payload preservation needed	next proof target	payload_semantics_contract_ready_phase2_relation_open
