obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_payload_congruence	dependency_on_status_domain	dependency_on_normal_form	dependency_on_counterexample_status	dependency_on_smaller_witness	dependency_on_higher_support	can_attempt_now	recommended_next_action
canonical_compression_congruence_refinement_language_well_defined	The refinement uses payload congruence, status-domain transfer, normal-form transfer, status congruence, reduction, and escape labels.	1	canonical_motif_notation_90.tsv;status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	1	use_refinement_language
payload_congruence_available	Accepted canonical motif compression includes payload-role refinement.	1	canonical_motif_status_congruence_lemma_90.tsv;canonical_motif_compression_operation_semantics_90.tsv	layerwise payload refinement under motif rewrite normalization	proof_sketch_ready	yes	possible	possible	possible	no	no	1	payload_congruence_refinement_later
status_domain_transfer_well_defined	Source and compressed status domains are comparable only under motif-rewrite status dependency compatibility.	1	canonical_compression_status_domain_transfer_90.tsv	motif status-domain invariance/refinement theorem	needs_status_domain_sublemma	possible	yes	possible	yes	possible	no	1	status_domain_transfer_refinement
normal_form_transfer_well_defined	W_comp must satisfy selected normal form after motif rewrite and normalization.	1	canonical_compression_normal_form_transfer_90.tsv;support_notation_and_normal_form_90.tsv	motif-rewrite normal-form preservation	needs_normal_form_sublemma	possible	yes	yes	possible	possible	no	1	normal_form_transfer_refinement
payload_plus_domain_implies_status_congruence	Payload congruence plus domain transfer implies status congruence only if the status predicate is determined by those data.	1	canonical_motif_congruence_refinement_90.tsv	canonical status predicate determination theorem	needs_counterexample_status_sublemma	yes	yes	possible	yes	possible	no	1	status_predicate_congruence_refinement
normal_form_transfer_supports_status_congruence	Normal-form transfer makes the compressed witness eligible for status comparison.	1	support_notation_and_normal_form_90.tsv;canonical_compression_normal_form_transfer_90.tsv	normal-form transfer proof	proof_sketch_ready	possible	yes	yes	yes	possible	no	1	normal_form_transfer_refinement
compression_preserves_status_under_refined_congruence	If payload, domain, normal-form, and status predicate congruence hold, compression preserves status.	1	canonical_compression_status_congruence_refinement_skeleton_90.tsv	refined canonical motif congruence theorem	proof_sketch_ready	yes	yes	yes	yes	possible	no	1	status_predicate_congruence_refinement
compression_reduces_to_smaller_witness_if_status_domain_changes	If compression changes status domain but W_comp is valid reduced status, lexicographic measure decrease gives a smaller witness.	1	canonical_motif_compression_smaller_witness_90.tsv	valid reduced-status theorem for compressed witness	needs_smaller_witness_sublemma	possible	yes	yes	yes	yes	possible	1	reduced_status_validity_refinement
compression_failure_is_named_escape	If refined congruence or valid reduction is not established, failure is named.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope	possible	possible	possible	possible	no	yes	1	use_failure_classification
no_hidden_canonical_congruence_failure_case	The canonical branch has no hidden class outside preserved, reduced, no accepted compression/no decrease, named blocker, or deferred higher-support escape.	1	canonical_compression_status_congruence_refinement_scope_inventory_90.tsv	arbitrary witness completeness	proof_sketch_ready	possible	possible	possible	possible	possible	yes	1	complete_taxonomy_after_operation_refinements
