obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_payload_locality	dependency_on_counterexample_status	dependency_on_measure	dependency_on_normal_form	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
inactive_support_locality_language_well_defined	The locality statement uses active support, inactive support, payload locality, status locality, reduction, and escape labels.	1	active_support_notation_90.tsv;status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	1	use_locality_language
inactive_support_payload_locality_available	Inactive support is outside relevant payload carriers under active support.	1	inactive_support_irrelevance_lemma_90.tsv;active_support_notation_90.tsv	none	proved_under_current_scope	yes	no	no	possible	possible	no	1	use_payload_locality
payload_locality_implies_status_locality	Payload locality implies status locality only with complete status dependencies, domain invariance, and normal-form transfer.	1	inactive_support_payload_locality_90.tsv	status-domain invariance;complete status dependency extraction;normal-form transfer	needs_status_locality_sublemma	yes	yes	no	yes	possible	no	1	status_domain_locality_refinement
projection_preserves_status_under_locality	If payload/status locality and normal form hold, projection preserves status.	1	project_to_active_status_semantics_90.tsv	status locality;normal-form transfer	proof_sketch_ready	yes	yes	no	yes	possible	no	1	status_domain_locality_refinement
projection_reduces_to_smaller_witness_if_domain_changes	If the status domain changes but W_active is a valid counterexample/reduced obstruction, strict active-subset measure decrease gives a smaller witness.	1	project_to_active_support_smaller_witness_90.tsv	valid reduced-status theorem	needs_smaller_witness_sublemma	possible	yes	yes	yes	possible	possible	1	reduced_status_validity_refinement
projection_measure_decrease_available	Strict active subset decreases support-size measure.	1	project_to_active_support_smaller_witness_90.tsv	none	proved_under_current_scope	no	no	yes	no	no	no	1	use_measure_guard
projection_normal_form_preserved_under_locality	W_active must satisfy the selected normal form after restriction and normalization.	1	support_notation_and_normal_form_90.md	normal-form preservation under active projection	needs_normal_form_sublemma	possible	possible	possible	yes	possible	no	1	normal_form_transfer_refinement
projection_family_chain_source_form_preserved_under_locality	Recognized family-chain source fields remain valid when source/lift fields are active.	1	family-chain source docs;active_support_notation_90.tsv	family-chain source projection proof	proof_sketch_ready	yes	possible	possible	yes	yes	no	1	source_form_transfer_refinement
locality_failure_is_named_escape	Locality failure is named as project-to-active blocker or deferred higher-support escape.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope	possible	possible	no	possible	possible	yes	1	use_failure_classification
no_hidden_locality_failure_case	No case is hidden outside preservation, reduction, no-op, named operation blocker, or deferred higher-support escape.	1	project_to_active_status_locality_refinement_scope_inventory_90.tsv	arbitrary witness completeness	proof_sketch_ready	possible	possible	possible	possible	possible	yes	1	complete_taxonomy_after_operation_refinements
